#{"t_start": 1780112831.3578796, "env_id": "None"}
r,l,t
-690.497934,800,85.028984
85.423834,4,88.280415
14.365131,140,104.788666
-765.922011,800,189.524451
-606.934856,800,274.22437
81.666473,32,280.537822
-845.235438,800,364.442593
-1648.178541,800,448.873477
88.929744,8,452.16253
71.802799,62,460.980116
85.735394,4,463.474919
-860.259355,800,547.478823
-177.346085,425,593.422097
-670.288566,800,677.344257
89.202089,5,680.292192
88.996562,6,683.406865
86.316504,4,686.262591
-757.143257,800,770.265716
91.127392,27,775.096696
-519.069765,800,859.422869
86.957801,4,861.89398
-90.000784,257,890.501863
43.346533,97,902.71966
87.48426,4,905.703669
86.012606,36,911.330479
82.679367,28,916.599483
87.785869,16,920.646989
15.695968,148,937.873057
87.125307,7,941.075544
-164.464949,453,989.855102
90.704376,10,993.405552
89.463524,10,996.565389
91.62942,30,1002.097573
-10.021326,174,1022.384043
-256.09929,570,1082.989245
85.39811,18,1087.369776
-602.786808,800,1171.340946
89.236524,17,1175.566385
-154.665772,476,1226.783758
-95.798026,311,1260.712291
-290.231952,453,1309.447056
-332.2755,696,1382.885108
86.434486,6,1385.924
-58.462495,258,1414.597622
20.217924,158,1433.366174
80.139431,49,1440.706671
-253.306016,541,1498.443751
-126.782963,390,1540.936653
88.978009,6,1543.529907
87.096512,5,1546.732902
-413.896836,787,1630.220602
0.938986,173,1650.121016
91.323858,10,1653.58722
-309.818695,710,1728.39926
90.219406,6,1731.410593
-320.322502,627,1797.827975
-42.060979,262,1827.282481
-52.852228,284,1858.248132
-44.677745,275,1888.923506
-121.085017,314,1923.329157
-475.779373,800,2007.627762
89.741868,7,2010.748669
-270.155705,575,2072.074831
87.221358,5,2074.74425
85.832945,9,2078.231987
67.142576,78,2088.648808
85.444056,3,2091.076074
93.443607,15,2095.142831
85.449273,26,2100.313706
88.582095,7,2103.432691
59.049952,69,2112.843354
-170.765561,448,2160.923425
89.412628,7,2163.668145
-143.246553,406,2207.72355
91.907441,26,2212.829629
-57.405752,267,2242.398561
93.169953,21,2247.034799
87.180986,5,2250.085547
86.620035,7,2252.886405
87.794715,6,2256.013576
72.162258,49,2263.523173
-469.959169,800,2347.338769
-41.19191,262,2376.401582
53.618457,91,2388.129495
91.487156,9,2391.458373
88.342249,21,2396.258909
83.992801,46,2402.892244
93.059829,11,2406.381624
27.566803,144,2423.835768
-152.115862,361,2463.166469
84.395002,43,2469.984049
91.012058,11,2473.542715
87.947897,8,2476.828298
26.578708,145,2493.98986
85.965161,47,2501.334986
84.923891,3,2504.084612
51.183325,107,2517.491734
85.698885,3,2520.22414
88.847906,6,2522.960806
40.309119,114,2537.001696
87.609402,21,2541.621707
-115.671729,352,2579.714133
-21.75337,222,2605.15313
87.713891,5,2607.799481
48.21048,87,2619.176695
87.734494,8,2622.386251
79.503891,41,2628.972075
-41.795897,285,2660.422808
51.54234,89,2672.299479
43.358029,105,2685.485083
86.468678,4,2688.313555
87.634352,6,2691.491356
-49.822933,277,2722.598524
-1.159198,175,2743.277838
85.296278,3,2745.696054
85.988817,3,2748.544063
90.270454,9,2752.136955
49.713269,115,2766.212262
87.02404,4,2768.979672
18.090279,145,2786.277558
87.103532,4,2788.726491
2.408157,184,2810.168503
-100.577102,344,2847.234412
-9.286265,211,2871.498582
-457.375006,800,2956.113392
58.029926,95,2967.992781
95.757248,21,2972.625151
-9.427292,193,2995.365674
89.769588,9,2998.881062
85.725585,3,3001.326709
86.184943,5,3004.648133
55.726895,83,3015.251687
92.555923,12,3019.088623
86.68322,4,3021.663488
85.560131,3,3024.523468
79.262471,1,3028.030866
89.249893,6,3030.928688
85.886334,3,3033.905756
16.454906,187,3055.175969
84.568172,34,3061.541756
64.004132,86,3073.55373
92.39878,23,3078.283685
86.653421,4,3081.266316
-64.778783,315,3115.857853
90.643496,9,3118.778057
87.758994,4,3121.803965
85.261627,25,3126.521405
89.009503,6,3129.596557
85.951724,3,3132.394302
90.334442,12,3136.277603
85.50167,3,3139.261275
91.333909,12,3142.916543
-0.246656,198,3166.483103
-8.952497,196,3188.791516
60.31164,79,3199.656837
-184.630091,556,3259.336115
-81.796606,322,3296.175933
88.527803,32,3302.133479
86.183946,29,3308.061804
91.644524,12,3311.762609
-28.51588,259,3341.497098
79.112128,43,3348.049436
90.758575,8,3351.557188
-12.41652,204,3375.057553
89.341915,8,3378.038841
85.908737,3,3380.797441
-143.551124,437,3428.198079
-167.690111,462,3478.680932
55.722601,75,3489.628357
80.936602,1,3493.160956
