episode,timesteps,reward,recent_average_reward,saved
1,800,-360.737235,-360.737235,best_episode_model+best_average_model
2,1600,-347.085865,-353.91155000000003,best_episode_model+best_average_model
5,4000,-311.023859,-362.91777160000004,best_episode_model
7,5579,48.578829,-304.1263264285714,best_episode_model+best_average_model
10,7879,114.725205,-263.1647798,best_episode_model+best_average_model
11,8487,157.198759,-224.94991263636365,best_episode_model+best_average_model
13,9920,93.123237,-213.8116247692308,best_average_model
18,13593,172.207461,-247.57001233333332,best_episode_model
20,14774,91.633117,-212.33920285,best_average_model
24,17726,182.188685,-209.6137557,best_episode_model+best_average_model
25,18276,136.997637,-187.21268089999998,best_average_model
28,20405,-442.791947,-180.43973929999999,best_average_model
29,20993,158.743356,-173.80652805000003,best_average_model
36,26205,187.163018,-157.89071339999998,best_episode_model+best_average_model
37,26798,203.556429,-123.69421584999998,best_episode_model+best_average_model
40,28925,220.282688,-157.13305765,best_episode_model
42,30280,207.865124,-95.47390379999999,best_average_model
43,30919,204.104118,-64.0685065,best_average_model
47,33693,222.122276,-91.54765359999999,best_episode_model
48,34370,211.352522,-58.84043015000001,best_average_model
49,34920,200.854544,-56.734870750000006,best_average_model
50,35535,198.492112,-31.580927749999994,best_average_model
51,36155,229.001755,-4.37216975,best_episode_model+best_average_model
52,36712,217.793397,-1.176854449999992,best_average_model
53,37285,241.98545,23.545531750000002,best_episode_model+best_average_model
55,38654,207.852267,42.89987675,best_average_model
89,64001,353.969429,-124.19410444999998,best_episode_model
